DATE,POILDUBUSDM
1990-01-01,17.5017391304348
1990-02-01,16.6815
1990-03-01,15.7559090909091
1990-04-01,14.2504761904762
1990-05-01,14.6478260869565
1990-06-01,13.2771428571429
1990-07-01,15.3077272727273
1990-08-01,25.0908695652174
1990-09-01,30.3525
1990-10-01,31.4078260869565
1990-11-01,28.0768181818182
1990-12-01,23.2642857142857
1991-01-01,19.6321739130435
1991-02-01,14.518
1991-03-01,15.0090476190476
1991-04-01,15.3722727272727
1991-05-01,15.9447826086957
1991-06-01,15.4115
1991-07-01,16.2330434782609
1991-08-01,16.6136363636364
1991-09-01,17.7990476190476
1991-10-01,18.8834782608696
1991-11-01,18.35
1991-12-01,15.3027272727273
1992-01-01,15.2191304347826
1992-02-01,15.7225
1992-03-01,15.7540909090909
1992-04-01,16.6377272727273
1992-05-01,17.5871428571429
1992-06-01,19.0109090909091
1992-07-01,18.4939130434783
1992-08-01,17.8038095238095
1992-09-01,18.38
1992-10-01,18.1368181818182
1992-11-01,17.1371428571429
1992-12-01,16.2247826086957
1993-01-01,15.3204761904762
1993-02-01,16.046
1993-03-01,16.314347826087
1993-04-01,16.3886363636364
1993-05-01,16.1190476190476
1993-06-01,15.6431818181818
1993-07-01,14.2086363636364
1993-08-01,14.6477272727273
1993-09-01,14.1281818181818
1993-10-01,14.7514285714286
1993-11-01,13.7868181818182
1993-12-01,12.2195652173913
1994-01-01,13.0814285714286
1994-02-01,12.7525
1994-03-01,12.0760869565217
1994-04-01,13.7504761904762
1994-05-01,14.7913636363636
1994-06-01,15.6886363636364
1994-07-01,16.397619047619
1994-08-01,15.9291304347826
1994-09-01,15.2477272727273
1994-10-01,15.3714285714286
1994-11-01,15.9209090909091
1994-12-01,15.455
1995-01-01,16.0113636363636
1995-02-01,16.553
1995-03-01,16.3278260869565
1995-04-01,17.3795
1995-05-01,17.2934782608696
1995-06-01,16.1913636363636
1995-07-01,15.0661904761905
1995-08-01,15.4086956521739
1995-09-01,15.5333333333333
1995-10-01,14.8672727272727
1995-11-01,15.7359090909091
1995-12-01,17.1733333333333
1996-01-01,16.7152173913043
1996-02-01,16.0019047619048
1996-03-01,16.9671428571429
1996-04-01,17.6568181818182
1996-05-01,16.9182608695652
1996-06-01,17.314
1996-07-01,17.7217391304348
1996-08-01,18.6045454545455
1996-09-01,20.2657142857143
1996-10-01,21.6334782608696
1996-11-01,20.9461904761905
1996-12-01,21.5659090909091
1997-01-01,21.4147826086956
1997-02-01,18.887
1997-03-01,18.1747619047619
1997-04-01,16.7613636363636
1997-05-01,18.4831818181818
1997-06-01,17.2685714285714
1997-07-01,17.2830434782609
1997-08-01,17.6880952380952
1997-09-01,17.9618181818182
1997-10-01,19.0630434782609
1997-11-01,18.51
1997-12-01,16.3508695652174
1998-01-01,13.7031818181818
1998-02-01,12.4365
1998-03-01,11.5127272727273
1998-04-01,12.2277272727273
1998-05-01,12.7566666666667
1998-06-01,11.9118181818182
1998-07-01,12.0421739130435
1998-08-01,12.2061904761905
1998-09-01,13.0813636363636
1998-10-01,12.8140909090909
1998-11-01,11.76
1998-12-01,10.1052173913043
1999-01-01,10.7628571428571
1999-02-01,10.0805
1999-03-01,12.3634782608696
1999-04-01,14.8859090909091
1999-05-01,15.3109523809524
1999-06-01,15.5763636363636
1999-07-01,17.8281818181818
1999-08-01,19.3813636363636
1999-09-01,22.0409090909091
1999-10-01,21.3695238095238
1999-11-01,23.1045454545455
1999-12-01,23.5869565217391
2000-01-01,23.3595238095238
2000-02-01,24.72
2000-03-01,25.0969565217391
2000-04-01,22.3485
2000-05-01,25.6339130434783
2000-06-01,27.1522727272727
2000-07-01,26.1376190476191
2000-08-01,27.1713043478261
2000-09-01,30.0952380952381
2000-10-01,30.5709090909091
2000-11-01,30.3836363636364
2000-12-01,22.0919047619048
2001-01-01,22.604347826087
2001-02-01,24.814
2001-03-01,23.5768181818182
2001-04-01,24.2471428571429
2001-05-01,25.4221739130435
2001-06-01,25.722380952381
2001-07-01,23.4036363636364
2001-08-01,24.5626086956522
2001-09-01,24.2385
2001-10-01,19.9269565217391
2001-11-01,17.4968181818182
2001-12-01,17.8447619047619
2002-01-01,18.3513043478261
2002-02-01,19.154
2002-03-01,22.9709523809524
2002-04-01,24.3204545454545
2002-05-01,24.6056521739131
2002-06-01,23.831
2002-07-01,24.4934782608696
2002-08-01,25.2209090909091
2002-09-01,26.9685714285714
2002-10-01,25.9682608695652
2002-11-01,23.3761904761905
2002-12-01,26.0231818181818
2003-01-01,27.8813043478261
2003-02-01,30.2005
2003-03-01,27.5214285714286
2003-04-01,23.5581818181818
2003-05-01,24.3172727272727
2003-06-01,25.6690476190476
2003-07-01,26.7339130434783
2003-08-01,27.872380952381
2003-09-01,25.3027272727273
2003-10-01,27.294347826087
2003-11-01,27.4045
2003-12-01,27.9765217391304
2004-01-01,29.0618181818182
2004-02-01,28.834
2004-03-01,30.5565217391304
2004-04-01,31.6340909090909
2004-05-01,34.7509523809524
2004-06-01,33.5686363636364
2004-07-01,35.0440909090909
2004-08-01,38.6131818181818
2004-09-01,35.9818181818182
2004-10-01,38.2147619047619
2004-11-01,34.7186363636364
2004-12-01,34.1373913043478
2005-01-01,38.32
2005-02-01,39.673
2005-03-01,46.075652173913
2005-04-01,47.0961904761905
2005-05-01,45.0740909090909
2005-06-01,51.0990909090909
2005-07-01,52.9785714285714
2005-08-01,56.8347826086956
2005-09-01,56.9286363636364
2005-10-01,53.5828571428572
2005-11-01,51.3981818181818
2005-12-01,53.24
2006-01-01,58.4627272727273
